BÁO CÁO QUY ĐỔI CONVERSION ITEM MASTER,,,,,,,,,,,,,,
Item No,Item Name,UOM1,UOM2,UOM Conversion,UOM Piece,Type Item,Tấn/ UOM Conversion,M3/ UOM Conversion,UOM Conversion / Pallet,UOM Conv / Pal Layer,UOM2/UOM1,UOM Conv/Piece,Pallet chồng đôi,Item Status
BTCA00010,Thùng carton BA 00-09 1kg U11 (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
97KM00851,Muỗng cà phê De Nam 2.3ly,Cai,,Cai,,POSM,0.000025,0.00001352,,,1,,,Active
BNMF00113,Màng cà phê Wake up HC sachet 17gr XK Elom (1500m x 206mm x 65µm),Cuo,Met,Met,,PG,,,"81,000",,0,,,Active
BNCA00093,Bao nylon Poly Ethylene (530x950)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00095,Bao nylon Poly Ethylene (370x570)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00096,Bao nylon Poly Ethylene (540x900)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00097,Bao nylon Poly Ethylene (540x940)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00098,Bao nylon Poly Ethylene (620x1030)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00014,Thùng carton AC 00-09 1kg (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00015,Thùng carton BG 00-09 1kg A11 (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00017,Thùng carton Pigcare U11 KKS (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00018,Thùng carton Gain H11 KKS (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00019,Thùng carton Promilk A11 KKS (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00020,Thùng carton BA 00-09 U11 KKS (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00021,Thùng carton BM 00-09 H11 KKS (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00099,Bao nylon Poly Ethylene (540x1000)mm,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00100,Bao nylon 25kg (540x970)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00022,Thùng carton BG 00-09 A11 KKS (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00023,Thùng carton AC 00-09 KKS (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
CAKH00200,Chỉ may bao trắng,Kgs,,Kgs,,PG,0.001,,,,1,,,Active
CAKH00204,Chỉ may bao đỏ,Kgs,,Kgs,,PG,0.001,,,,1,,,Active
BNCA00116,Bao nylon 25kg (660x1100)mm,Cai,,Cai,,PG,,,,,1,,,Active
APPG00117,Higum HV 400F (INS 412),Kgs,,Kgs,,RM,0.001,0.0012152,"1,000",,1,,,Active
BNMF00112,Màng cà phê Wake up HC stick 17gr XK Elom (1000m x 790mm x 79µm),Cuo,Met,Met,,PG,,,"45,000",,0,,,Active
BGTF00274,Thùng cà phê Wake up HC bịch XK Elom (375x250x265)mm,Cai,,Cai,,PG,,,480,,1,,,Active
03NT00387,Nước tương CHIN-SU Tỏi ớt 100% đậu nành 24chai x 250ml,Cha,Thu,Thu,Cha,FG,7.43E-03,0.0162336,104,,24,24,Y,Active
97KM00862,Bình đá Vĩnh Hảo 5L,Cai,,Cai,,POSM,0.000625,0.014872,160,,1,,,Active
97KM01049,Con heo nhồi bông (300x200)mm Woa! ngon,Cai,,Cai,,POSM,0.00024,0.01152,200,,1,,,Active
97KM00861,Kệ xúc xích,Cai,,Cai,,POSM,0.001833333,0.039281667,,,1,,,Active
04MS00576,Màng rau mì khoai tây Omachi Special Bò hầm khoai tây xốt vang (1800m x 120mm x 39µm),Cuo,Met,Met,,PG,5.18E-06,,"129,600",,0,,,Active
BGTM00597,Thúng carton mì khoai tây Omachi Special Bò hầm khoai tây xốt vang MB (380x105x385)mm,Cai,,Cai,,PG,,,,,1,,,Active
39452,BTP Chân gà rã đông 41-50gr,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
97KM01054,Kệ sắt Vĩnh Hảo giọt nước (110x50x40)cm,Cai,,Cai,,POSM,0.0057,0.22,12,,1,,,Active
